System Info,v2.00
Aircraft Report Version,Date,Time,GDU Software Version,Airframe Name,System ID,System Part Number,System Version,Cockpit Ref Guide Part Number,Aircraft Identifier,Aircraft Serial Number,Flight Time (seconds)
"3","07-06-2022","13:54:01","21.50.5","Cirrus SR22 Turbo","000000025B289D04","006-B2647-N8","2647.N8","GPN 190-02184-XX","N122DR ","","734350"

Product Data,v2.00
LRU,Status,Serial Number,SW Part Number,Version,Product String,Description,Model Number,Functions Present,Parent LRU,Power-on Count,Power-on Time
"GTX 1 Unit Data","OK","","","104","","Unit Configuration","2","0","GTX 1",,
"GTX 1 Wiring CONFIG","OK","","","102","","Wire Configuration","2","0","GTX 1",,
"GTX 1 Synched CONFIG","OK","","","100","","Sync Configuration","2","0","GTX 1",,
"GTX 1 System","OK","3EF020857","006-B1607-0K","2.60","GTX 335","XPDR Main Board System","2","0","GTX 1",,
"GTX 1 Audio Database","N/A","","006-D4910-01","2.02","GTX 335","Audio Database","2","0","GTX 1",,
"GTX 1 Boot Block","N/A","","006-B1607-BC","2.05","GTX 335","Main Board Boot Block","2","0","GTX 1",,
"GTX 1 FPGA","OK","","006-C0153-22","2.20","GTX 335","Main Board FPGA","2","0","GTX 1",,
"GTX 1 XHTML Templates","N/A","","006-D6674-15","2.61","GTX 335","GX000 Remote Config XHTML","2","0","GTX 1",,
"GTX 1 BB","N/A","","006-B1607-BC","2.05","GTX 335","Main Board Boot Block","0","0","GTX 1",,
"MFD 1","OK","495201430","006-B1177-C1","21.50.5","GDU1XXX 200","GDU1XXX System Software","4","134225921",,"1102","1622249"
"MFD 1 GARMIN Public Key","N/A","","006-D6426-02","2.02","","Garmin Public Key Region","4","134225921","MFD 1",,
"MFD 1 FPGA","N/A","","N/A","","","","0","0","MFD 1",,
"NAV 1","OK","","006-B2253-00","2.00","GIA 64 VLG","NAV Receiver","0","0",,,
"NAV 1 System","OK","","006-B2253-00","2.00","GIA 64 VLG","NAV Receiver","0","0","NAV 1",,
"NAV 1 Boot Block","N/A","","006-B2371-BA","2.00","","GIA 64 COM/NAV Bootblock SW","0","0","NAV 1",,
"NAV 1 Region List","OK","","006-D5761-00","2.00","","GIA 64 NAV Region List","0","0","NAV 1",,
"NAV 1 GARMIN Public Key","N/A","","006-D5761-K0","1.00","","GIA64 NAV Key Region","0","0","NAV 1",,
"NAV 1 BB","N/A","","006-B2371-BA","2.00","","GIA 64 COM/NAV Bootblock SW","0","0","NAV 1",,
"NAV 2","OK","","006-B2253-00","2.00","GIA 64 VLG","NAV Receiver","0","0",,,
"NAV 2 System","OK","","006-B2253-00","2.00","GIA 64 VLG","NAV Receiver","0","0","NAV 2",,
"NAV 2 Boot Block","N/A","","006-B2371-BA","2.00","","GIA 64 COM/NAV Bootblock SW","0","0","NAV 2",,
"NAV 2 Region List","OK","","006-D5761-00","2.00","","GIA 64 NAV Region List","0","0","NAV 2",,
"NAV 2 GARMIN Public Key","N/A","","006-D5761-K0","1.00","","GIA64 NAV Key Region","0","0","NAV 2",,
"NAV 2 BB","N/A","","006-B2371-BA","2.00","","GIA 64 COM/NAV Bootblock SW","0","0","NAV 2",,
"PFD 1","OK","495301434","006-B1177-C1","21.50.5","GDU1XXX 200","GDU1XXX System Software","1","134225985",,"1133","1622004"
